springA,springB,springC,springP,summerA,summerB,summerC,summerP,autumnA,autumnB,autumnC,autumnP,WinterA,WinterB,WinterC,WinterP,,,,,,,,,
43.9,45.6,44.5,0,41.4,43.1,42.4,0,40.1,41.8,40.9,0,39.3,41,40.1,0,,,,,,,,,
43.9,45.6,44.5,0,41.4,43.1,42.4,0,40.1,41.8,40.9,0,39.3,41,40.1,0,,,,,,,,,
43.9,45.6,44.5,0,41.4,43.1,42.4,0,40.1,41.8,40.9,0,39.3,41,40.1,0,,,,,,,,,
43.9,45.6,44.5,0,41.4,43.1,42.4,0,40.1,41.8,40.9,0,39.3,41,40.1,0,,,,,,,,,
43.9,45.6,44.5,0,41.4,43.1,42.4,0,40.1,41.8,40.9,0,39.3,41,40.1,0,,,,,,,,,
43.9,45.6,44.5,0,41.4,43.1,42.4,0,40.1,41.8,40.9,0,39.3,41,40.1,0,,,,,,,,,
43.9,45.6,44.5,0,41.4,43.1,42.4,0,40.1,41.8,40.9,0,39.3,41,40.1,0,,,,,,,,,
43.9,45.6,44.5,0,41.3,43,42.3,0,40.1,41.8,40.9,0,39.3,41,40.1,0,,,,,,,,,
43.9,45.6,44.5,0,41.3,43,42.3,0,40.1,41.8,40.9,0,39.3,41,40.1,0,,,,,,,,,
43.9,45.6,44.5,0,41.3,43,42.3,0,40.1,41.8,40.9,0,39.3,41,40,0,,,,,,,,,
43.9,45.6,44.5,0,41.3,43,42.3,0,40.1,41.8,40.9,0,39.3,41,40,0,,,,,,,,,
43.9,45.6,44.5,0,41.3,43,42.3,0,40.1,41.8,40.9,0,39.3,41,40,0,,,,,,,,,
43.9,45.6,44.5,0,41.3,43,42.3,0,40.1,41.8,40.9,0,39.3,41,40,0,,,,,,,,,
43.9,45.6,44.5,0,41.3,43,42.3,0,40.1,41.8,40.9,0,39.3,41,40,0,,,,,,,,,
43.9,45.6,44.5,0,41.3,43,42.3,0,40.1,41.8,40.9,0,39.3,41,40,0,,,,,,,,,
43.9,45.6,44.5,0,41.3,43,42.3,0,40.1,41.8,40.9,0,39.3,41,40,0,,,,,,,,,
43.9,45.6,44.5,0,41.3,43,42.3,0,40.1,41.8,40.9,0,39.3,41,40,0,,,,,,,,,
43.9,45.6,44.5,0,41.2,42.9,42.1,0,40.1,41.8,40.9,0,39.3,41,40,0,,,,,,,,,
